,k_neighbors,metric,strategy,accuracy,elapsed_time,weight
0,1,euclidean,my_own,[96.895 96.675 96.67 ],363.78962564468384,0.0
1,2,euclidean,my_own,[96.03  95.995 96.125],363.78962564468384,0.0
2,3,euclidean,my_own,[96.955 96.825 96.715],363.78962564468384,0.0
3,4,euclidean,my_own,[96.705 96.67  96.71 ],363.78962564468384,0.0
4,5,euclidean,my_own,[96.81 96.73 96.72],363.78962564468384,0.0
5,6,euclidean,my_own,[96.555 96.495 96.57 ],363.78962564468384,0.0
6,7,euclidean,my_own,[96.52 96.5  96.56],363.78962564468384,0.0
7,8,euclidean,my_own,[96.415 96.39  96.525],363.78962564468384,0.0
8,9,euclidean,my_own,[96.37  96.32  96.455],363.78962564468384,0.0
9,10,euclidean,my_own,[96.245 96.22  96.37 ],363.78962564468384,0.0
10,1,euclidean,brute,[96.895 96.675 96.67 ],102.98189878463745,0.0
11,2,euclidean,brute,[96.03  95.995 96.125],102.98189878463745,0.0
12,3,euclidean,brute,[96.955 96.825 96.715],102.98189878463745,0.0
13,4,euclidean,brute,[96.705 96.67  96.71 ],102.98189878463745,0.0
14,5,euclidean,brute,[96.81 96.73 96.72],102.98189878463745,0.0
15,6,euclidean,brute,[96.555 96.495 96.57 ],102.98189878463745,0.0
16,7,euclidean,brute,[96.52 96.5  96.56],102.98189878463745,0.0
17,8,euclidean,brute,[96.415 96.39  96.525],102.98189878463745,0.0
18,9,euclidean,brute,[96.37  96.32  96.455],102.98189878463745,0.0
19,10,euclidean,brute,[96.245 96.22  96.37 ],102.98189878463745,0.0
20,1,euclidean,kd_tree,[96.895 96.675 96.67 ],2145.9664273262024,0.0
21,2,euclidean,kd_tree,[96.03  95.995 96.125],2145.9664273262024,0.0
22,3,euclidean,kd_tree,[96.955 96.825 96.715],2145.9664273262024,0.0
23,4,euclidean,kd_tree,[96.705 96.67  96.71 ],2145.9664273262024,0.0
24,5,euclidean,kd_tree,[96.81 96.73 96.72],2145.9664273262024,0.0
25,6,euclidean,kd_tree,[96.555 96.495 96.57 ],2145.9664273262024,0.0
26,7,euclidean,kd_tree,[96.52 96.5  96.56],2145.9664273262024,0.0
27,8,euclidean,kd_tree,[96.415 96.39  96.525],2145.9664273262024,0.0
28,9,euclidean,kd_tree,[96.37  96.32  96.455],2145.9664273262024,0.0
29,10,euclidean,kd_tree,[96.245 96.22  96.37 ],2145.9664273262024,0.0
30,1,euclidean,ball_tree,[96.895 96.675 96.67 ],1566.53280711174,0.0
31,2,euclidean,ball_tree,[96.03  95.995 96.125],1566.53280711174,0.0
32,3,euclidean,ball_tree,[96.955 96.825 96.715],1566.53280711174,0.0
33,4,euclidean,ball_tree,[96.705 96.67  96.71 ],1566.53280711174,0.0
34,5,euclidean,ball_tree,[96.81 96.73 96.72],1566.53280711174,0.0
35,6,euclidean,ball_tree,[96.555 96.495 96.57 ],1566.53280711174,0.0
36,7,euclidean,ball_tree,[96.52 96.5  96.56],1566.53280711174,0.0
37,8,euclidean,ball_tree,[96.415 96.39  96.525],1566.53280711174,0.0
38,9,euclidean,ball_tree,[96.37  96.32  96.455],1566.53280711174,0.0
39,10,euclidean,ball_tree,[96.245 96.22  96.37 ],1566.53280711174,0.0
40,1,cosine,my_own,[97.33  97.08  97.045],362.1982855796814,0.0
41,2,cosine,my_own,[96.895 96.64  96.775],362.1982855796814,0.0
42,3,cosine,my_own,[97.365 97.155 97.09 ],362.1982855796814,0.0
43,4,cosine,my_own,[97.25  97.095 97.22 ],362.1982855796814,0.0
44,5,cosine,my_own,[97.275 97.015 97.16 ],362.1982855796814,0.0
45,6,cosine,my_own,[97.195 96.97  97.215],362.1982855796814,0.0
46,7,cosine,my_own,[97.125 96.815 97.075],362.1982855796814,0.0
47,8,cosine,my_own,[97.125 96.835 97.155],362.1982855796814,0.0
48,9,cosine,my_own,[97.005 96.7   97.07 ],362.1982855796814,0.0
49,10,cosine,my_own,[96.935 96.615 97.07 ],362.1982855796814,0.0
50,1,cosine,brute,[97.33  97.08  97.045],100.94415020942688,0.0
51,2,cosine,brute,[96.895 96.64  96.775],100.94415020942688,0.0
52,3,cosine,brute,[97.365 97.155 97.09 ],100.94415020942688,0.0
53,4,cosine,brute,[97.25  97.095 97.22 ],100.94415020942688,0.0
54,5,cosine,brute,[97.275 97.015 97.16 ],100.94415020942688,0.0
55,6,cosine,brute,[97.195 96.97  97.215],100.94415020942688,0.0
56,7,cosine,brute,[97.125 96.815 97.075],100.94415020942688,0.0
57,8,cosine,brute,[97.125 96.835 97.155],100.94415020942688,0.0
58,9,cosine,brute,[97.005 96.7   97.07 ],100.94415020942688,0.0
59,10,cosine,brute,[96.935 96.615 97.07 ],100.94415020942688,0.0
60,1,cosine,kd_tree,[96.895 96.675 96.67 ],2137.540379524231,0.0
61,2,cosine,kd_tree,[96.03  95.995 96.125],2137.540379524231,0.0
62,3,cosine,kd_tree,[96.955 96.825 96.715],2137.540379524231,0.0
63,4,cosine,kd_tree,[96.705 96.67  96.71 ],2137.540379524231,0.0
64,5,cosine,kd_tree,[96.81 96.73 96.72],2137.540379524231,0.0
65,6,cosine,kd_tree,[96.555 96.495 96.57 ],2137.540379524231,0.0
66,7,cosine,kd_tree,[96.52 96.5  96.56],2137.540379524231,0.0
