,k_neighbors,metric,accuracy,elapsed_time
0,1,euclidean,[96.895 96.675 96.67 ],103.42220902442932
1,2,euclidean,[96.03  95.995 96.125],103.42220902442932
2,3,euclidean,[96.955 96.825 96.715],103.42220902442932
3,4,euclidean,[96.705 96.67  96.71 ],103.42220902442932
4,5,euclidean,[96.81 96.73 96.72],103.42220902442932
5,6,euclidean,[96.555 96.495 96.57 ],103.42220902442932
6,7,euclidean,[96.52 96.5  96.56],103.42220902442932
7,8,euclidean,[96.415 96.39  96.525],103.42220902442932
8,9,euclidean,[96.37  96.32  96.455],103.42220902442932
9,10,euclidean,[96.245 96.22  96.37 ],103.42220902442932
10,1,cosine,[97.33  97.08  97.045],101.68995237350464
11,2,cosine,[96.895 96.64  96.775],101.68995237350464
12,3,cosine,[97.365 97.155 97.09 ],101.68995237350464
13,4,cosine,[97.25  97.095 97.22 ],101.68995237350464
14,5,cosine,[97.275 97.015 97.16 ],101.68995237350464
15,6,cosine,[97.195 96.97  97.215],101.68995237350464
16,7,cosine,[97.125 96.815 97.075],101.68995237350464
17,8,cosine,[97.125 96.835 97.155],101.68995237350464
18,9,cosine,[97.005 96.7   97.07 ],101.68995237350464
19,10,cosine,[96.935 96.615 97.07 ],101.68995237350464
